text,intent,language
Which number is being served?,CURRENT_SERVING,hinglish
Kya lana zaroori hai?,DOCUMENTS,hi_roman
Tumhi majhya bookingmadhe madat karu shakta ka?,HELP,mr_roman
क्या मुझे कोई दस्तावेज लाने होंगे?,DOCUMENTS,hi
Majhi booking active aahe ka?,BOOKING_STATUS,mr_roman
Mere token ke aage kitne log hain?,QUEUE_POSITION,hinglish
Maza token sanga,TOKEN_NUMBER,mr_roman
Can my booking be cancelled?,CANCEL_BOOKING,en
Confirm slot cancel karta yeto ka?,CANCEL_BOOKING,mr_roman
मेरी लाइन पोजीशन बताइए,QUEUE_POSITION,hi
माझ्या बुकिंगमध्ये कोणते पीक आहे?,CROP_INFO,mr
Do I need any ID documents?,DOCUMENTS,en
Current token please,CURRENT_SERVING,hinglish
I want to schedule a slot,BOOKING_HELP,hinglish
आपकी सुविधाएं क्या हैं?,HELP,hi
Mala kontya kendravar jayche aahe?,CENTRE_INFO,mr_roman
Mera token number check karo,TOKEN_NUMBER,hi_roman
Shubh prabhat,GREETING,mr_roman
Mala bookingchi madat havi aahe,BOOKING_HELP,mr_roman
कृपया मार्गदर्शन करें,HELP,hi
Mera assigned procurement centre kya hai?,CENTRE_INFO,hi_roman
तुम्ही शेतकऱ्यांना कशी मदत करता?,HELP,mr
Aapke features kya hain?,HELP,hi_roman
Kaunse kagaz laane hain?,DOCUMENTS,hi_roman
Hi there assistant,GREETING,en
अपना स्लॉट कैसे कैंसल करें?,CANCEL_BOOKING,hi
Majhya pikachi mahiti dya,CROP_INFO,mr_roman
मेरे लिए कौन सा खरीद केंद्र है?,CENTRE_INFO,hi
Meri booking mein kaunsi fasal hai?,CROP_INFO,hinglish
क्या मैं अपनी बुकिंग रद्द कर सकता हूँ?,CANCEL_BOOKING,hi
What information can you give?,HELP,hinglish
हॅलो सर,GREETING,mr
What crop is associated with my booking?,CROP_INFO,en
Check my booking status,BOOKING_STATUS,en
Mujhe booking cancellation help chahiye,CANCEL_BOOKING,hinglish
मला एक स्लॉट शेड्यूल करायचा आहे,BOOKING_HELP,mr
Meri booking ka kya hua?,BOOKING_STATUS,hi_roman
मुझे स्लॉट कैंसल करना है,CANCEL_BOOKING,hi
Meri booking successful hui?,BOOKING_STATUS,hinglish
Greetings,GREETING,en
Which number is currently called?,CURRENT_SERVING,en
Namaste,GREETING,hinglish
मैं खरीद का समय कैसे चुनूं?,BOOKING_HELP,hi
वेटिंग टाइम चाहिए,WAITING_TIME,hi
Kaunse documents chahiye?,DOCUMENTS,hinglish
Help me book a procurement slot,BOOKING_HELP,en
Slotsathi nondani kashi karaychi?,BOOKING_HELP,mr_roman
नाऊ सर्व्हिंग टोकन सांगा,CURRENT_SERVING,mr
Papers ki info chahiye,DOCUMENTS,hinglish
मी कोणते पीक निवडले?,CROP_INFO,mr
मी बुकिंग कशी करू?,BOOKING_HELP,mr
Slot booking help,BOOKING_HELP,mr_roman
इंतजार का समय बताओ,WAITING_TIME,hi
Check my queue position,QUEUE_POSITION,en
Shubh dopahar,GREETING,hi_roman
Help options batao,HELP,hinglish
काय आणणे आवश्यक आहे?,DOCUMENTS,mr
Booking status please,BOOKING_STATUS,en
Required documents bataiye,DOCUMENTS,hi_roman
Main apna token kaise dekhun?,TOKEN_NUMBER,hi_roman
Tell me what I need to bring,DOCUMENTS,en
Which produce is booked?,CROP_INFO,hinglish
Crop information dikhao,CROP_INFO,hinglish
Help me cancel my booking,CANCEL_BOOKING,en
Help please,HELP,en
Documents kaunse hain?,DOCUMENTS,hinglish
Majha token kay aahe?,TOKEN_NUMBER,mr_roman
My token number please,TOKEN_NUMBER,en
What can I ask you?,HELP,en
मेरी बुकिंग का केंद्र कौन सा है?,CENTRE_INFO,hi
Which is my token?,TOKEN_NUMBER,en
माझा अंदाजे वेटिंग टाइम सांगा,WAITING_TIME,mr
Main kaunse questions pooch sakta hoon?,HELP,hi_roman
QueueKisan के बारे में क्या पूछ सकता हूँ?,HELP,hi
हा चॅटबॉट कसा वापरायचा?,HELP,mr
Please help me cancel the slot,CANCEL_BOOKING,en
Can you tell me my centre?,CENTRE_INFO,en
Namaste,GREETING,hi_roman
Can I cancel my booking?,CANCEL_BOOKING,hinglish
How can I make a booking?,BOOKING_HELP,en
Centre information chahiye,CENTRE_INFO,hi_roman
Maza procurement centre konta aahe?,CENTRE_INFO,mr_roman
Mere aage kitne token hain?,QUEUE_POSITION,hi_roman
मैं कौन सी फसल केंद्र पर ले जाऊँ?,CROP_INFO,hi
Yeh assistant meri kaise madad karega?,HELP,hi_roman
Meri booking mein kaunsi crop registered hai?,CROP_INFO,hi_roman
मी माझी बुकिंग रद्द करू शकतो का?,CANCEL_BOOKING,mr
मी कोणते प्रश्न विचारू शकतो?,HELP,mr
Is my slot confirmed?,BOOKING_STATUS,hinglish
हैलो असिस्टेंट,GREETING,hi
Booking parat kashi ghaychi?,CANCEL_BOOKING,mr_roman
Crop ka slot kaise book karun?,BOOKING_HELP,hinglish
What is my queue token?,TOKEN_NUMBER,en
Mala madat havi aahe,GREETING,mr_roman
अभी सर्विंग नंबर क्या है?,CURRENT_SERVING,hi
Mi rangeet kityavya numbervar aahe?,QUEUE_POSITION,mr_roman
Which market yard is assigned to me?,CENTRE_INFO,hinglish
Majhya pudhe kiti lok aahet?,QUEUE_POSITION,mr_roman
Mujhe slot book karna hai,BOOKING_HELP,hinglish
Tumhi kashi madat deta?,HELP,mr_roman
Hello chatbot,GREETING,mr_roman
मेरी वर्तमान बुकिंग स्थिति बताओ,BOOKING_STATUS,hi
What is the status of my booking?,BOOKING_STATUS,en
Mujhe kis market centre par jana hai?,CENTRE_INFO,hi_roman
Now serving token please,CURRENT_SERVING,en
What documents are needed for my booking?,DOCUMENTS,en
आप कौन सी सेवाएं देते हैं?,HELP,hi
Slot select kaise karna hai?,BOOKING_HELP,hinglish
Mera waiting time check karo,WAITING_TIME,hi_roman
Hello,GREETING,en
Kaunsa token active hai abhi?,CURRENT_SERVING,hinglish
मैंने खरीद के लिए क्या बुक किया?,CROP_INFO,hi
मेरी बुकिंग दिखाओ,BOOKING_STATUS,hi
Maza centre sanga,CENTRE_INFO,mr_roman
मेरा टोकन नंबर क्या है?,TOKEN_NUMBER,hi
Tell me my estimated wait,WAITING_TIME,en
Mera centre kahan hai?,CENTRE_INFO,hi_roman
What number am I in the line?,QUEUE_POSITION,en
कोणत्या केंद्रावर हजर राहायचे?,CENTRE_INFO,mr
मैं अपना टोकन कहाँ देख सकता हूँ?,TOKEN_NUMBER,hi
What is the now-serving token?,CURRENT_SERVING,en
वर्तमान टोकन कौन सा है?,CURRENT_SERVING,hi
हॅलो मॅडम,GREETING,mr
Which procurement centre is assigned to me?,CENTRE_INFO,en
मेरी बुकिंग में कौन सा अनाज है?,CROP_INFO,hi
Do I have a confirmed booking?,BOOKING_STATUS,en
Mere aage kitne kisan hain?,QUEUE_POSITION,hi_roman
माझ्या पिकाची खरेदी कुठे होईल?,CENTRE_INFO,mr
Tell me how to cancel my slot,CANCEL_BOOKING,en
Can I know my estimated wait?,WAITING_TIME,en
Am I near the front of the queue?,QUEUE_POSITION,en
शुभ प्रभात,GREETING,hi
Kis centre par report karna hai?,CENTRE_INFO,hi_roman
मेरे टोकन की जानकारी चाहिए,TOKEN_NUMBER,hi
Hello assistant,GREETING,hinglish
Mujhe apna token chahiye,TOKEN_NUMBER,hi_roman
मेरी क्यू पोजीशन चेक करो,QUEUE_POSITION,hi
कोणते पेपर लागतात?,DOCUMENTS,mr
Majha number konta aahe?,TOKEN_NUMBER,mr_roman
क्यू में मेरा स्थान क्या है?,QUEUE_POSITION,hi
Main kya pooch sakta hoon?,HELP,hinglish
Mujhe mera token number batao,TOKEN_NUMBER,hi_roman
Hey QueueKisan,GREETING,hinglish
Shubh prabhat,GREETING,hi_roman
मेरी सेंटर जानकारी चाहिए,CENTRE_INFO,hi
Which produce is in my booking?,CROP_INFO,en
Can you find my token number?,TOKEN_NUMBER,en
Meri booking centre ka naam kya hai?,CENTRE_INFO,hi_roman
Hi ma'am,GREETING,hinglish
नमस्कार QueueKisan,GREETING,mr
अभी कौन सा टोकन चल रहा है?,CURRENT_SERVING,hi
Mera queue position kya hai?,QUEUE_POSITION,hi_roman
मेरे आगे कितने किसान इंतजार कर रहे हैं?,QUEUE_POSITION,hi
माझ्यासाठी कोणता टोकन आहे?,TOKEN_NUMBER,mr
Sadhya konta token chalu aahe?,CURRENT_SERVING,mr_roman
Mera token kaunsa hai?,TOKEN_NUMBER,hi_roman
Mera slot cancel kar do,CANCEL_BOOKING,hinglish
Maza current queue number kay aahe?,QUEUE_POSITION,mr_roman
Meri booking information chahiye,BOOKING_STATUS,hinglish
Procurement ke liye maine kya book kiya?,CROP_INFO,hinglish
क्या मेरा स्लॉट एक्टिव है?,BOOKING_STATUS,hi
Mujhe kab tak wait karna padega?,WAITING_TIME,hi_roman
Mi rangeet kuthe aahe?,QUEUE_POSITION,mr_roman
How many turns until me?,QUEUE_POSITION,en
मेरा प्रोक्योरमेंट सेंटर कौन सा है?,CENTRE_INFO,hi
माझ्या पिकाचा स्लॉट कसा बुक करू?,BOOKING_HELP,mr
माझी बुकिंग कन्फर्म आहे का ते सांगा,BOOKING_STATUS,mr
Konti kagadpatre tayar thevavi?,DOCUMENTS,mr_roman
How do I delete my booking?,CANCEL_BOOKING,en
Mujhe assistance chahiye,HELP,hinglish
मैं लाइन में कहाँ हूँ?,QUEUE_POSITION,hi
Majhi reservation sthiti sanga,BOOKING_STATUS,mr_roman
क्या मेरी बुकिंग अभी भी मान्य है?,BOOKING_STATUS,hi
Namaskar,GREETING,hi_roman
माझे केंद्र कुठे आहे?,CENTRE_INFO,mr
Hello sir,GREETING,mr_roman
कितना समय बाकी है?,WAITING_TIME,hi
Kagadpatranchi garaj kay aahe?,DOCUMENTS,mr_roman
नमस्कार,GREETING,hi
Aap meri kis tarah help kar sakte ho?,HELP,hinglish
बुकिंग प्रोसेस सांगा,BOOKING_HELP,mr
Help options dikhaao,HELP,hi_roman
मदद चाहिए,HELP,hi
सध्याचा टोकन हवा आहे,CURRENT_SERVING,mr
Kitni der wait karna hoga?,WAITING_TIME,hinglish
Radd karanyasathi kay karave lagel?,CANCEL_BOOKING,mr_roman
ही बुकिंग हटवायची आहे,CANCEL_BOOKING,mr
Mala ek slot schedule karaycha aahe,BOOKING_HELP,mr_roman
स्लॉट के लिए रजिस्टर कैसे करें?,BOOKING_HELP,hi
मदतीचे पर्याय दाखवा,HELP,mr
मेरा खरीद केंद्र बताइए,CENTRE_INFO,hi
Booking status check karna hai,BOOKING_STATUS,hi_roman
What time will my token come?,WAITING_TIME,en
Mi majhi booking radd karu shakto ka?,CANCEL_BOOKING,mr_roman
बुकिंग प्रोसेस बताओ,BOOKING_HELP,hi
Konta token active aahe?,CURRENT_SERVING,mr_roman
Meri booking ke baare mein batao,BOOKING_STATUS,hi_roman
Majhi rangechi sthiti sanga,QUEUE_POSITION,mr_roman
Mera kharid centre kaunsa hai?,CENTRE_INFO,hinglish
Rangeetil majhi jaga kay aahe?,QUEUE_POSITION,mr_roman
अभी सर्व होने वाला टोकन कौन सा है?,CURRENT_SERVING,hi
Main kitni der mein serve honga?,WAITING_TIME,hi_roman
मेरी बुकिंग के लिए कौन से दस्तावेज चाहिए?,DOCUMENTS,hi
दस्तावेज की जरूरत क्या है?,DOCUMENTS,hi
मैंने कौन सी फसल बुक की है?,CROP_INFO,hi
What services do you provide?,HELP,en
Maza token kiti velat yeil?,WAITING_TIME,mr_roman
Booking wala token batao,TOKEN_NUMBER,hinglish
मला कोणत्या बाजार केंद्रावर जायचे आहे?,CENTRE_INFO,mr
What is the current token?,CURRENT_SERVING,en
Meri slot booking pakki hai?,BOOKING_STATUS,hi_roman
Namaskar ji,GREETING,mr_roman
नाउ सर्विंग टोकन बताओ,CURRENT_SERVING,hi
Hey QueueKisan,GREETING,hi_roman
Abhi kis kisan ki bari hai?,CURRENT_SERVING,hi_roman
Maine kaunsi crop book ki hai?,CROP_INFO,hinglish
मेरे बुकिंग सेंटर का नाम क्या है?,CENTRE_INFO,hi
बुकिंग रद्द करण्यासाठी मदत हवी आहे,CANCEL_BOOKING,mr
Mera token number dikhao,TOKEN_NUMBER,hi_roman
शुभ दिन,GREETING,hi
Countervar konta token aahe?,CURRENT_SERVING,mr_roman
Tell me the current serving number,CURRENT_SERVING,en
Majhya bookingche centre konte aahe?,CENTRE_INFO,mr_roman
टोकन नंबर तपासायचा आहे,TOKEN_NUMBER,mr
माझी रांग पोजीशन सांगा,QUEUE_POSITION,mr
Mujhe kis jagah jana hoga?,CENTRE_INFO,hi_roman
Mujhe slot cancel karna hai,CANCEL_BOOKING,hinglish
डॉक्यूमेंट्स चाहिए,DOCUMENTS,hi
Majhi pali kadhi yenar?,WAITING_TIME,mr_roman
What are you able to do?,HELP,en
What crop am I taking to the centre?,CROP_INFO,en
Shubh sandhya,GREETING,hi_roman
Madad karo,HELP,hi_roman
Which token is assigned to me?,TOKEN_NUMBER,hinglish
Kharedisathi konti kagadpatre havit?,DOCUMENTS,mr_roman
Please check my queue position,QUEUE_POSITION,hinglish
स्लॉटसाठी नोंदणी कशी करायची?,BOOKING_HELP,mr
Aap kya kar sakte hain?,HELP,hi_roman
Counter par kaunsa token hai?,CURRENT_SERVING,hi_roman
मेरे टोकन की प्रतीक्षा कितनी है?,WAITING_TIME,hi
Namaste ji,GREETING,hi_roman
What papers are needed for my crop?,DOCUMENTS,en
Mera token batao,TOKEN_NUMBER,hi_roman
Procurement slot kaise cancel karein?,CANCEL_BOOKING,hi_roman
Mujhe help chahiye,GREETING,hi_roman
शुभ दोपहर,GREETING,hi
थांबण्याचा वेळ सांगा,WAITING_TIME,mr
Please check my booking status,BOOKING_STATUS,hinglish
मुझे अपनी बुकिंग रद्द करनी है,CANCEL_BOOKING,hi
मेरी फसल की खरीद कहाँ होगी?,CENTRE_INFO,hi
Booking confirm hui hai kya?,BOOKING_STATUS,hinglish
कितने किसान मेरे पहले हैं?,QUEUE_POSITION,hi
कृपया मार्गदर्शन करा,HELP,mr
Booking kuthun radd hoil?,CANCEL_BOOKING,mr_roman
Andaje pratikshecha vel kay aahe?,WAITING_TIME,mr_roman
अभी कौन सा नंबर चल रहा है?,CURRENT_SERVING,hi
How many turns are before mine?,QUEUE_POSITION,en
Waiting time bataiye,WAITING_TIME,hi_roman
Mera procurement location kya hai?,CENTRE_INFO,hinglish
Majhya bookingchi sthiti kay aahe?,BOOKING_STATUS,mr_roman
स्लॉट कसा बुक करायचा?,BOOKING_HELP,mr
Mera number line mein kitna hai?,QUEUE_POSITION,hinglish
माझ्या खरेदी केंद्राची माहिती द्या,CENTRE_INFO,mr
मुझे कौन से बाजार केंद्र पर जाना है?,CENTRE_INFO,hi
Mi ithe aahe,GREETING,mr_roman
Mi majhi booking hatavu shakto ka?,CANCEL_BOOKING,mr_roman
Show my procurement centre,CENTRE_INFO,en
Maza token number sanga,TOKEN_NUMBER,mr_roman
कतार में मेरा नंबर क्या है?,QUEUE_POSITION,hi
मेरी स्थिति लाइन में बताओ,QUEUE_POSITION,hi
बुकिंग परत कशी घ्यायची?,CANCEL_BOOKING,mr
Majhi queue position kay aahe?,QUEUE_POSITION,mr_roman
आत्ता सर्व्ह होणारा टोकन कोणता?,CURRENT_SERVING,mr
Aap kya kar sakte hain?,HELP,hi_roman
Mera token number chahiye,TOKEN_NUMBER,hi_roman
मला किती वेळ थांबावे लागेल?,WAITING_TIME,mr
Current token batao,CURRENT_SERVING,hi_roman
सहायता विकल्प दिखाएं,HELP,hi
Can you tell me what papers I need?,DOCUMENTS,en
Can you help with my booking?,HELP,en
इस समय कौन सा टोकन है?,CURRENT_SERVING,hi
माझी पाळी लवकर येईल का?,WAITING_TIME,mr
क्या मैं अपनी बुकिंग हटा सकता हूँ?,CANCEL_BOOKING,hi
Hello,GREETING,mr_roman
Which documents are needed for procurement?,DOCUMENTS,en
Current token chahiye,CURRENT_SERVING,hi_roman
Sadhya kiti wait aahe?,WAITING_TIME,mr_roman
Sadhya kontya tokenchi seva hot aahe?,CURRENT_SERVING,mr_roman
Kya slot cancel kiya ja sakta hai?,CANCEL_BOOKING,hi_roman
Check my token,TOKEN_NUMBER,en
Please tell my centre,CENTRE_INFO,hinglish
आप कैसी सहायता देते हैं?,HELP,hi
माझा स्लॉट अॅक्टिव्ह आहे का?,BOOKING_STATUS,mr
Current token ki information do,CURRENT_SERVING,hi_roman
Slot booking help please,BOOKING_HELP,hinglish
How many farmers are ahead of me?,QUEUE_POSITION,en
Good evening,GREETING,en
माझ्या टोकनची माहिती द्या,TOKEN_NUMBER,mr
QueueKisan baddal kay vicharu shakto?,HELP,mr_roman
आत्ता कोणता टोकन आहे?,CURRENT_SERVING,mr
मेरे लिए कौन सी फसल चुनी गई है?,CROP_INFO,hi
Mi konte peek register kele aahe?,CROP_INFO,mr_roman
माझा टोकन कोणता आहे?,TOKEN_NUMBER,mr
Procurement ke liye kaunse documents chahiye?,DOCUMENTS,hi_roman
Kya aap meri booking mein help kar sakte hain?,HELP,hi_roman
Sadhya kaunsa token chal raha hai?,CURRENT_SERVING,hinglish
Procurement centre par kya lana hai?,DOCUMENTS,hinglish
बुकिंग कहाँ से शुरू करें?,BOOKING_HELP,hi
How can you help me?,HELP,en
मेरे लिए कौन सा केंद्र चुना गया है?,CENTRE_INFO,hi
Kaunse papers saath laaun?,DOCUMENTS,hi_roman
तुम्ही कोणत्या सेवा देता?,HELP,mr
Majhya pudhe kiti shetkari thamble aahet?,QUEUE_POSITION,mr_roman
आवश्यक दस्तावेज बताइए,DOCUMENTS,hi
Sadhya konta token process hot aahe?,CURRENT_SERVING,mr_roman
Mi konte peek nivadle?,CROP_INFO,mr_roman
मी तुम्हाला काय विचारू शकतो?,HELP,mr
Namaste assistant,GREETING,hi_roman
सध्या कोणत्या टोकनची सेवा होत आहे?,CURRENT_SERVING,mr
टोकन नंबर सांगा,TOKEN_NUMBER,mr
मेरा टोकन नंबर चेक करो,TOKEN_NUMBER,hi
What token is being handled now?,CURRENT_SERVING,en
शुभ संध्याकाळ,GREETING,mr
Mi book kelele peek sanga,CROP_INFO,mr_roman
Who is being served now?,CURRENT_SERVING,hinglish
Start chat,GREETING,en
तुम्ही मला मार्गदर्शन करू शकता का?,HELP,mr
Booking ka current status kya hai?,BOOKING_STATUS,hinglish
What is the process to cancel?,CANCEL_BOOKING,en
Aatta konta number bolavla aahe?,CURRENT_SERVING,mr_roman
Slot cancel karanyachi paddhat sanga,CANCEL_BOOKING,mr_roman
Mera number kab bulaya jayega?,WAITING_TIME,hi_roman
I want to book a slot,BOOKING_HELP,en
Mera reservation cancel karna hai,CANCEL_BOOKING,hi_roman
Mere token ke aage kitne log hain?,QUEUE_POSITION,hi_roman
नमस्कार,GREETING,mr
Mi booking kashi karu?,BOOKING_HELP,mr_roman
Guide me please,HELP,hinglish
Kharedichi vel kashi nivadaychi?,BOOKING_HELP,mr_roman
I want to remove this booking,CANCEL_BOOKING,en
माझे केंद्र सांगा,CENTRE_INFO,mr
When is my turn expected?,WAITING_TIME,en
Mera token batao please,TOKEN_NUMBER,hinglish
New booking kaise banayein?,BOOKING_HELP,hi_roman
Kaunse documents ready rakhein?,DOCUMENTS,hi_roman
केंद्राची माहिती हवी आहे,CENTRE_INFO,mr
Can you guide me?,HELP,en
Cancel my reservation,CANCEL_BOOKING,en
What is my current queue number?,QUEUE_POSITION,en
How do you help farmers?,HELP,en
Namaskar ji,GREETING,hinglish
माझा टोकन नंबर सांगा,TOKEN_NUMBER,mr
माझ्या बुकिंगचे केंद्र कोणते आहे?,CENTRE_INFO,mr
Mala sahayya have aahe,HELP,mr_roman
Navin booking kashi karaychi?,BOOKING_HELP,mr_roman
What token is assigned to me?,TOKEN_NUMBER,en
कन्फर्म स्लॉट कॅन्सल करता येतो का?,CANCEL_BOOKING,mr
Is my booking confirmed?,BOOKING_STATUS,en
हेलो चैटबॉट,GREETING,hi
Fasal kis centre par leke jaana hai?,CENTRE_INFO,hinglish
Majhya pikacha slot kasa book karu?,BOOKING_HELP,mr_roman
What number is being served now?,CURRENT_SERVING,en
Show my booking status,BOOKING_STATUS,en
Majhi line position sanga,QUEUE_POSITION,mr_roman
Mera queue token kya hai?,TOKEN_NUMBER,hinglish
Check my current booking,BOOKING_STATUS,hinglish
मी रांगेत कुठे उभा आहे?,QUEUE_POSITION,mr
Booking kashi karaychi?,BOOKING_HELP,mr_roman
Meri booking kis crop ke liye hai?,CROP_INFO,hinglish
Where is my procurement centre?,CENTRE_INFO,en
जो टोकन सध्या चालू आहे तो कोणता?,CURRENT_SERVING,mr
Kis procurement centre par jana hai?,CENTRE_INFO,hi_roman
Help options dikhao,HELP,hinglish
Mere se pehle kitne farmers hain?,QUEUE_POSITION,hinglish
मदद के विकल्प दिखाओ,HELP,hi
Abhi kaunsa token bulaya hai?,CURRENT_SERVING,hi_roman
मेरे टोकन से कौन सी फसल जुड़ी है?,CROP_INFO,hi
मला माझा टोकन नंबर सांगा,TOKEN_NUMBER,mr
मेरे लिए कौन सा टोकन है?,TOKEN_NUMBER,hi
कौन सा टोकन अभी सक्रिय है?,CURRENT_SERVING,hi
काउंटर पर कौन सा टोकन है?,CURRENT_SERVING,hi
Aankhi kiti vel thambayche?,WAITING_TIME,mr_roman
मेरी बुकिंग कैंसल करने में मदद करें,CANCEL_BOOKING,hi
कागदपत्रांची गरज काय आहे?,DOCUMENTS,mr
Can I remove my booking?,CANCEL_BOOKING,en
Mi rangeet kuthe ubha aahe?,QUEUE_POSITION,mr_roman
मला स्लॉट हवा आहे,BOOKING_HELP,mr
Mera centre kahan hai?,CENTRE_INFO,hi_roman
मला माझा टोकन हवा आहे,TOKEN_NUMBER,mr
मेरी बुकिंग में कौन सी फसल है?,CROP_INFO,hi
मला कोणती कागदपत्रे आणावी लागतील?,DOCUMENTS,mr
Mera kharid centre kaunsa hai?,CENTRE_INFO,hi_roman
Which centre is selected for me?,CENTRE_INFO,en
Good morning,GREETING,en
Hi assistant,GREETING,hi_roman
मेरी बुकिंग का नंबर क्या है?,TOKEN_NUMBER,hi
आप क्या कर सकते हैं?,HELP,hi
रद्द करण्याची प्रक्रिया काय आहे?,CANCEL_BOOKING,mr
Which token is active right now?,CURRENT_SERVING,en
Current token kaunsa hai?,CURRENT_SERVING,hi_roman
Aap kya kar sakte ho?,HELP,hinglish
Sadhya kontya shetkaryachi pali aahe?,CURRENT_SERVING,mr_roman
Kaunsa number currently called hai?,CURRENT_SERVING,hinglish
यह असिस्टेंट मेरी कैसे मदद करेगा?,HELP,hi
What is my booking status?,BOOKING_STATUS,en
मैं बुकिंग कैसे करूं?,BOOKING_HELP,hi
मेरे खरीद केंद्र की जानकारी दो,CENTRE_INFO,hi
What is my expected wait?,WAITING_TIME,en
Token number kaha milega?,TOKEN_NUMBER,hinglish
Mala slot cancel karaycha aahe,CANCEL_BOOKING,mr_roman
Token kitni der mein aayega?,WAITING_TIME,hinglish
Mujhe token number check karna hai,TOKEN_NUMBER,hinglish
Is time kaunsa number liya ja raha hai?,CURRENT_SERVING,hi_roman
Mera booked produce kaunsa hai?,CROP_INFO,hinglish
Tell me the paperwork required,DOCUMENTS,en
Mere liye kaunsa procurement centre hai?,CENTRE_INFO,hi_roman
Slot ke liye register kaise karein?,BOOKING_HELP,hi_roman
Can you check my booking?,BOOKING_STATUS,hinglish
Hello,GREETING,hi_roman
Tell me your features,HELP,en
Token number tapasaycha aahe,TOKEN_NUMBER,mr_roman
Mujhe apni booking cancel karni hai,CANCEL_BOOKING,hi_roman
Kiti vel baki aahe?,WAITING_TIME,mr_roman
Where do I need to go?,CENTRE_INFO,en
Meri booking ka status batao,BOOKING_STATUS,hi_roman
सध्याचा सर्व्हिंग नंबर काय आहे?,CURRENT_SERVING,mr
Token serve honyas kiti vel aahe?,WAITING_TIME,mr_roman
किती वेळ बाकी आहे?,WAITING_TIME,mr
Hello QueueKisan,GREETING,hinglish
Mala konte kagad have?,DOCUMENTS,mr_roman
Show me help options,HELP,en
Token serve hone mein kitna time hai?,WAITING_TIME,hi_roman
Current serving number kya hai?,CURRENT_SERVING,hinglish
How many farmers are in front of my token?,QUEUE_POSITION,en
Tell me what you can do,HELP,en
Which crop did I select?,CROP_INFO,en
Book kelele peek dakhva,CROP_INFO,mr_roman
Meri booking ka token kya hai?,TOKEN_NUMBER,hinglish
Meri current queue position batao,QUEUE_POSITION,hinglish
टोकन नंबर बताइए,TOKEN_NUMBER,hi
Do I need any documents?,DOCUMENTS,en
मेरा अनुमानित समय क्या है?,WAITING_TIME,hi
How do I cancel a procurement slot?,CANCEL_BOOKING,en
Maze kharedi kendra sanga,CENTRE_INFO,mr_roman
Mera assigned token kaunsa hai?,TOKEN_NUMBER,hinglish
हॅलो,GREETING,mr
Kaunse papers laane padenge?,DOCUMENTS,hi_roman
What support do you provide?,HELP,en
Slot kaise reserve karein?,BOOKING_HELP,hi_roman
मेरा रिजर्वेशन कैंसल करना है,CANCEL_BOOKING,hi
How do I get a slot?,BOOKING_HELP,hinglish
माझा नंबर कोणता आहे?,TOKEN_NUMBER,mr
Meri selected fasal kaunsi hai?,CROP_INFO,hi_roman
Mujhe kis jagah jana hoga?,CENTRE_INFO,hinglish
आवश्यक कागजात बताओ,DOCUMENTS,hi
How can I book a slot?,BOOKING_HELP,hinglish
Booking cancel karne ka process kya hai?,CANCEL_BOOKING,hinglish
Can I know the required papers?,DOCUMENTS,en
Mi konte peek book kele?,CROP_INFO,mr_roman
माझे केंद्र दाखवा,CENTRE_INFO,mr
केंद्रावर मला काय आणायचे?,DOCUMENTS,mr
Mujhe kaunse papers lane hain?,DOCUMENTS,hinglish
आत्ता कोणता नंबर बोलावला आहे?,CURRENT_SERVING,mr
Tell me the name of my centre,CENTRE_INFO,en
Kya meri booking confirm hai?,BOOKING_STATUS,hinglish
Documents needed please,DOCUMENTS,en
कोणते उत्पादन बुक आहे?,CROP_INFO,mr
My procurement centre please,CENTRE_INFO,en
Mala kiti minutes thambave lagel?,WAITING_TIME,mr_roman
Wait time please,WAITING_TIME,hinglish
Mujhe ek slot schedule karna hai,BOOKING_HELP,hi_roman
Slot kaise book karein?,BOOKING_HELP,hi_roman
कौन सा टोकन सर्व हो रहा है?,CURRENT_SERVING,hi
Maza slot confirm zala aahe ka?,BOOKING_STATUS,mr_roman
Which token did I get?,TOKEN_NUMBER,hinglish
Mujhe slot chahiye,BOOKING_HELP,hi_roman
Support chahiye,HELP,hinglish
सध्याच्या टोकनची माहिती द्या,CURRENT_SERVING,mr
Serving token kya hai?,CURRENT_SERVING,hinglish
मेरी बारी कब आएगी?,WAITING_TIME,hi
Maza estimated time kiti aahe?,WAITING_TIME,mr_roman
Majhe peek sanga,CROP_INFO,mr_roman
Mera procurement centre kaunsa hai?,CENTRE_INFO,hinglish
मेरी बुकिंग चेक करो,BOOKING_STATUS,hi
क्या आप मुझे गाइड कर सकते हैं?,HELP,hi
माझा स्लॉट कन्फर्म झाला आहे का?,BOOKING_STATUS,mr
Aatta konta token aahe?,CURRENT_SERVING,mr_roman
Mujhe current serving token batao,CURRENT_SERVING,hinglish
मी माझे पीक कुठे घेऊन जाऊ?,CENTRE_INFO,mr
मुझे किस जगह जाना होगा?,CENTRE_INFO,hi
I want to cancel my booking,CANCEL_BOOKING,en
Mala maza token number sanga,TOKEN_NUMBER,mr_roman
Can you verify my booking status?,BOOKING_STATUS,en
What is the token number for my booking?,TOKEN_NUMBER,en
स्लॉट बुक करण्याची पद्धत सांगा,BOOKING_HELP,mr
वर्तमान सर्विंग टोकन बताओ,CURRENT_SERVING,hi
Meri booking mein kaunsi fasal hai?,CROP_INFO,hi_roman
